model,dataset,task,time_sec,ram_mb,vram_mb,vram_system_peak_mb,vram_torch_peak_mb,cpu_percent_avg,gpu_util_percent_avg,gpu_util_percent_peak,accuracy,precision,recall,f1_score,auc,fpr
CNN (PyTorch),raw_urls,Training,16.8007,1937.0,35.5,1064.57,35.5,92.7,25.0,41,,,,,,
CNN (PyTorch),raw_urls,Inference,5.4633,1674.0,30.14,1065.7,30.14,45.2,11.2,91,0.9997,0.9734,1.0,0.9865,1.0,0.0003
CNN (PyTorch),raw_urls,Training,15.3079,1984.71,35.5,1040.76,35.5,98.6,26.1,41,,,,,,
CNN (PyTorch),raw_urls,Inference,5.4535,1714.89,30.14,1039.95,30.14,43.8,5.8,31,1.0,1.0,1.0,1.0,1.0,0.0
CNN (PyTorch),raw_urls,Training,15.4671,1722.58,35.5,1032.73,35.5,97.6,27.5,90,,,,,,
CNN (PyTorch),raw_urls,Inference,5.313,1763.18,30.14,1021.87,30.14,42.1,4.0,31,1.0,0.9961,1.0,0.9981,1.0,0.0
CNN (PyTorch) (PhiUSIIL),PhiUSIIL,Training,14.0792,1708.88,35.5,1023.87,35.5,94.1,24.5,40,,,,,,
CNN (PyTorch) (PhiUSIIL),PhiUSIIL,Inference,5.3236,1740.79,30.14,1021.87,30.14,42.0,10.6,91,0.9951,0.6678,1.0,0.8008,0.9986,0.005
CNN (PyTorch) (PhiUSIIL),PhiUSIIL,Training,15.0054,1939.45,35.5,1058.31,35.5,86.8,24.7,43,,,,,,
CNN (PyTorch) (PhiUSIIL),PhiUSIIL,Inference,5.3098,1709.96,30.14,1021.75,30.14,43.6,5.3,30,0.995,0.6656,1.0,0.7992,0.9986,0.005
CNN (PyTorch) (PhiUSIIL),PhiUSIIL,Training,13.7714,1944.91,35.5,1023.75,35.5,95.4,25.7,40,,,,,,
CNN (PyTorch) (PhiUSIIL),PhiUSIIL,Inference,5.2157,1715.47,30.14,1021.75,30.14,43.1,10.0,93,0.9949,0.6612,1.0,0.796,0.9987,0.0051
Linear SVC,raw_urls,Training,6.9657,1449.88,16.25,1002.06,16.25,102.7,2.5,17,,,,,,
Linear SVC,raw_urls,Inference,0.0311,1450.38,16.25,1002.06,16.25,150.6,0.0,0,0.992,0.5531,0.9961,0.7113,0.9994,0.008
Linear SVC,raw_urls,Training,6.58,1452.86,16.25,1002.06,16.25,108.0,0.0,1,,,,,,
