model,dataset,task,time_sec,ram_mb,vram_system_peak_mb,vram_torch_peak_mb,cpu_percent_avg,gpu_util_percent_avg,gpu_util_percent_peak,accuracy,precision,recall,f1_score,auc,fpr
CNN,raw_urls,Training,17.7397,2030.96,1331.38,35.5,100.1,31.0,46,,,,,,
CNN,raw_urls,Inference,5.0069,1707.18,1338.25,30.14,49.3,18.7,61,1.0,1.0,0.96,0.9796,1.0,0.0
CNN,raw_urls,Training,17.525,2074.46,1348.85,35.5,98.2,36.6,90,,,,,,
CNN,raw_urls,Inference,4.8936,1734.96,1283.7,30.14,45.7,21.1,84,1.0,1.0,1.0,1.0,1.0,0.0
CNN,raw_urls,Training,17.5934,2076.61,1354.04,35.5,100.1,30.8,55,,,,,,
CNN,raw_urls,Inference,4.9192,1737.58,1330.04,30.14,46.7,16.8,88,0.9994,0.641,1.0,0.7812,1.0,0.0006
CNN,PhiUSIIL,Training,15.7289,1970.43,1483.32,35.49,97.7,32.9,48,,,,,,
CNN,PhiUSIIL,Inference,5.0767,1682.78,1476.22,30.12,43.7,15.7,85,0.994,0.1418,1.0,0.2484,0.998,0.006
CNN,PhiUSIIL,Training,15.5922,1984.35,1517.91,35.49,97.3,30.6,47,,,,,,
CNN,PhiUSIIL,Inference,5.0029,1699.01,1502.56,30.12,42.2,19.6,49,0.9958,0.1905,1.0,0.32,0.999,0.0042
CNN,PhiUSIIL,Training,15.9486,1977.67,1489.66,35.49,96.6,36.0,96,,,,,,
CNN,PhiUSIIL,Inference,4.849,1691.77,1505.85,30.12,44.8,13.7,38,0.9956,0.1818,1.0,0.3077,0.9988,0.0044
SVM_TFIDF,raw_urls,Training,7.8057,1464.96,1479.78,16.25,104.3,10.1,37,,,,,,
SVM_TFIDF,raw_urls,Inference,0.0329,1464.98,1387.88,16.25,94.9,9.0,9,0.9931,0.1238,1.0,0.2203,0.9989,0.0069
SVM_TFIDF,raw_urls,Training,8.244,1467.41,1330.6,16.25,107.5,22.7,84,,,,,,
SVM_TFIDF,raw_urls,Inference,0.0333,1467.42,1321.22,16.25,93.8,5.0,5,0.9936,0.133,1.0,0.2347,0.9989,0.0064
SVM_TFIDF,raw_urls,Training,7.9655,1467.51,1422.73,16.25,107.9,18.6,36,,,,,,
SVM_TFIDF,raw_urls,Inference,0.0336,1467.52,1395.04,16.25,93.1,23.0,23,0.9939,0.1381,1.0,0.2427,0.9991,0.0061
SVM_TFIDF,PhiUSIIL,Training,1.931,1422.63,1394.79,16.25,115.7,31.9,34,,,,,,
SVM_TFIDF,PhiUSIIL,Inference,0.0329,1422.72,1381.04,16.25,95.0,34.0,34,0.9903,0.093,1.0,0.1702,0.9981,0.0097
SVM_TFIDF,PhiUSIIL,Training,1.5977,1424.61,1381.04,16.25,109.5,26.9,34,,,,,,
SVM_TFIDF,PhiUSIIL,Inference,0.0332,1424.83,1381.04,16.25,94.2,22.0,22,0.9906,0.0948,1.0,0.1732,0.9992,0.0094
SVM_TFIDF,PhiUSIIL,Training,2.1575,1427.86,1316.91,16.25,108.6,33.2,67,,,,,,
SVM_TFIDF,PhiUSIIL,Inference,0.033,1428.13,1316.91,16.25,94.7,30.0,30,0.9911,0.1,1.0,0.1818,0.999,0.0089
XGB,numeric_features,Training,2.7852,4303.0,1520.85,16.25,533.0,51.8,86,,,,,,
XGB,numeric_features,Inference,0.4325,4434.52,1530.79,16.25,1394.5,59.5,80,0.9965,0.2133,0.9412,0.3478,0.9991,0.0035
XGB,numeric_features,Training,2.7271,4337.55,1641.75,16.25,543.2,58.0,87,,,,,,
XGB,numeric_features,Inference,0.3849,4469.71,1617.75,16.25,1396.6,61.4,82,0.9962,0.1985,0.9412,0.3279,0.9961,0.0038
XGB,numeric_features,Training,2.9626,4338.96,1636.22,16.25,526.9,57.7,84,,,,,,
XGB,numeric_features,Inference,0.405,4472.23,1633.03,16.25,1362.0,46.8,80,0.9963,0.2097,0.9647,0.3445,0.9992,0.0036
XGB,PhiUSIIL,Training,0.7001,1900.03,1547.41,16.25,598.1,30.3,67,,,,,,
XGB,PhiUSIIL,Inference,0.0541,1908.19,1475.16,16.25,1126.8,67.0,67,1.0,1.0,1.0,1.0,1.0,0.0
XGB,PhiUSIIL,Training,0.6554,1900.37,1523.72,16.25,591.2,24.4,71,,,,,,
XGB,PhiUSIIL,Inference,0.0438,1908.57,1476.72,16.25,1568.4,71.0,71,1.0,0.9524,1.0,0.9756,1.0,0.0
XGB,PhiUSIIL,Training,0.6673,1902.54,1510.47,16.25,657.9,10.7,64,,,,,,
XGB,PhiUSIIL,Inference,0.0441,1910.75,1464.47,16.25,1525.2,64.0,64,1.0,0.9524,1.0,0.9756,1.0,0.0
LR,numeric_features,Training,4.5782,4023.79,1808.02,351.59,144.4,48.4,84,,,,,,
LR,numeric_features,Inference,0.0775,3725.02,1449.56,82.9,786.2,45.0,45,0.9842,0.0498,0.8235,0.0938,0.9904,0.0157
LR,numeric_features,Training,4.4577,3733.43,1719.56,351.59,161.2,46.0,87,,,,,,
LR,numeric_features,Inference,0.0661,3806.19,1433.56,82.9,756.7,41.0,41,0.9831,0.0479,0.8471,0.0907,0.9818,0.0168
LR,numeric_features,Training,4.5348,3732.85,1801.52,351.59,154.0,41.0,83,,,,,,
LR,numeric_features,Inference,0.0658,3805.84,1509.52,82.9,736.6,36.0,36,0.984,0.0531,0.8941,0.1003,0.9788,0.0159
LR,PhiUSIIL,Training,1.9596,1897.11,1533.09,66.54,177.8,27.6,33,,,,,,
LR,PhiUSIIL,Inference,0.022,1900.27,1493.09,20.48,567.9,26.0,26,0.9994,0.6061,1.0,0.7547,1.0,0.0006
LR,PhiUSIIL,Training,2.2338,1901.34,1523.02,66.54,157.4,21.5,32,,,,,,
LR,PhiUSIIL,Inference,0.0218,1905.45,1482.02,20.5,930.5,20.0,20,0.9993,0.5714,1.0,0.7273,1.0,0.0007
LR,PhiUSIIL,Training,2.0351,1902.44,1488.46,66.54,166.6,31.8,35,,,,,,
LR,PhiUSIIL,Inference,0.0219,1906.55,1447.27,20.51,570.9,34.0,34,0.9992,0.5556,1.0,0.7143,1.0,0.0008
